"","mean","sd","parametros","Vies","EQM","Assimetria","Curtose","N"
"1",8.1092051476613,2.6720668326425,3.5,4.6092051476613,28.3847132513355,-1.0382653430388,2.48687000012503,50
"2",5.91130750803651,4.17918547154296,11.2,-5.28869249196349,45.4358594801067,-0.204545511260306,1.18884941501767,50
"3",5.69856800974324,4.00576643799778,3,2.69856800974324,23.328434058999,-0.059702624605406,1.17463271774941,50
"4",4.42865250540729,4.06259785635039,5,-0.571347494592708,16.8311393020001,0.394132762565845,1.39347997374892,50
"5",6.35742574352042,4.07687951874714,3,3.35742574352042,27.8932542336336,-0.353723898712458,1.26913809336637,50
"6",0.49716189425172,0.0329730264571139,0.5,-0.00283810574828031,0.00109527531797995,0.167319003909712,2.46249530832468,50
"7",0.206049405595059,0.0382788991036666,0.2,0.00604940559505918,0.00150186942464222,-0.0963465721233396,2.67845160243128,50
"8",1.50186079458774,0.0406013567714887,1.5,0.00186079458774246,0.00165193272818348,-0.148615821991641,3.11271531347153,50
"9",7.03575246730347,3.0689092478592,3.5,3.53575246730347,21.9197494816383,-0.330727881964283,1.41159628446505,200
"10",5.3166983549543,4.14560349557371,11.2,-5.8833016450457,51.7992665891103,0.0743898445107242,1.17112577320872,200
"11",6.40785432149705,3.9958625717516,3,3.40785432149705,27.5803887688714,-0.473241133918576,1.4414670574584,200
"12",4.60186044333505,4.02788203225507,5,-0.398139556664955,16.3823487723446,0.375956948358735,1.37366246665228,200
"13",6.38486031088691,3.67834110548564,3,3.38486031088691,24.9874726125227,-0.320364450739993,1.35522019004643,200
"14",0.498577304221293,0.0162861792890038,0.5,-0.00142269577870702,0.000267263699112328,-0.30209786063368,3.03463755686801,200
"15",0.199681571167481,0.0196130352807483,0.2,-0.000318428832518841,0.000384772549845255,-0.175703332559751,3.24978810094931,200
"16",1.50476484472442,0.0209744156179735,1.5,0.00476484472442285,0.000462629855763351,0.166175160934973,2.61229387866979,200
"17",6.25446256216026,3.18575673042637,3.5,2.75446256216026,17.7361099517994,-0.0135277126664884,1.32686377237328,500
"18",5.76289657489498,4.06830570075635,11.2,-5.43710342510502,46.1132049300954,-0.0796100498664702,1.17939600070266,500
"19",6.46368296265536,4.11128125786157,3,3.46368296265536,28.8997332470328,-0.503590017126671,1.40605475248723,500
"20",4.15773326852521,3.58979405889829,5,-0.842266731474789,13.5960346322507,0.545365565903321,1.66040270828316,500
"21",6.56388570271907,3.24702584225275,3,3.56388570271907,23.2444581223025,-0.34134826602372,1.60594499437745,500
"22",0.501219262369425,0.00907270240023779,0.5,0.00121926236942504,8.38005295687765e-05,-0.0136064758988655,3.01887604310111,500
"23",0.199399064137791,0.013146533834551,0.2,-0.00060093586220894,0.000173192475773484,-0.312411966366216,3.14176090167717,500
"24",1.49760510736818,0.0104806987686719,1.5,-0.0023948926318218,0.000115580557397596,0.0700974485669977,2.66541964321737,500
