"","Média","DP","parametros","Viés","EQM","CA","CC","N","tau"
"1",6.67424717467168,3.10646302552191,3.5,3.17424717467168,19.7259576548459,-0.280570413853773,1.58303868904314,50,0.2
"2",9.11523652602829,2.03036363625791,11.2,-2.08476347397171,8.46861523784504,-2.48244072587031,8.10356337733398,50,0.2
"3",5.37348161750528,2.4227709207689,3,2.37348161750528,11.5032339231589,0.651878699477784,2.06361761674216,50,0.2
"4",3.87434494240788,2.4380155204661,5,-1.12565505759212,7.21101898671631,0.355962371343565,2.36579588681391,50,0.2
"5",6.06991851894909,3.86071737131433,3,3.06991851894909,24.3295383341549,-0.188451165576331,1.30836021734234,50,0.2
"6",0.484705891996514,0.0554899030880349,0.5,-0.015294108003486,0.0033130390843418,0.156985221856248,2.97166221267801,50,0.2
"7",0.256988481542445,0.0989020313285325,0.2,0.0569884815424447,0.0130292988294236,0.0319843291814589,2.5078306825823,50,0.2
"8",1.5013810398268,0.102827628352544,1.5,0.0013810398267986,0.0105754284236121,-0.0960279778591232,3.10337538153657,50,0.2
"9",4.98598986485946,2.40368939122792,3.5,1.48598986485946,7.98588856796667,0.893536471603065,2.72987426743069,200,0.2
"10",9.55531318748121,1.21129416837952,11.2,-1.64468681251879,4.17222827362346,-3.68069951846168,16.5724640420769,200,0.2
"11",3.52135167848323,1.18673305817896,3,0.521351678483231,1.68014292403208,2.82182308786193,11.6901001979268,200,0.2
"12",4.45079481894571,1.36484494742207,5,-0.549205181054285,2.16442806140044,-0.837967391350958,4.68916563871817,200,0.2
"13",4.89828462311701,3.12791446927908,3,1.89828462311701,13.3873334374879,0.534898943840234,1.82705973802639,200,0.2
"14",0.48917333340146,0.0292264068334993,0.5,-0.0108266665985405,0.000971399566033164,-0.160038719759978,3.12035805294847,200,0.2
"15",0.23207552298907,0.0507719569926425,0.2,0.0320755229890703,0.00360663079188511,0.263412016619176,3.13747027571391,200,0.2
"16",1.50100203342415,0.0496722533194815,1.5,0.00100203342415295,0.00246833682081786,-0.0970527623494784,2.97921555359966,200,0.2
"17",4.53005390892866,1.57896362003042,3.5,1.03005390892866,3.55413716867877,1.39561588972126,5.13602400768724,500,0.2
"18",9.83344490340897,0.605790327630408,11.2,-1.36655509659103,2.23445475306948,-6.45123502474357,48.4229640432998,500,0.2
"19",3.13949938825594,0.513196841279081,3,0.13949938825594,0.282831077222608,5.81611058491223,45.468976294041,500,0.2
"20",4.58472451459385,0.799448416088371,5,-0.41527548540615,0.81157149876552,-1.81067220776345,8.18449717926013,500,0.2
"21",4.85295969924393,2.59741676601858,3,1.85295969924393,10.1800335034165,0.70662645989425,2.3375429226811,500,0.2
"22",0.499439935419597,0.0163455427780958,0.5,-0.000560064580402975,0.000267490441044783,-0.0176695754880119,3.01925718685697,500,0.2
"23",0.20679308073015,0.0249474378321485,0.2,0.00679308073015011,0.000668520600195252,-0.137816557560826,3.18472434925799,500,0.2
"24",1.50475371151431,0.0319165218866456,1.5,0.0047537115143117,0.00104126214250203,0.0103238107689967,2.73865168461391,500,0.2
"25",6.35486438345189,3.19603858756476,3.5,2.85486438345189,18.3649133011051,-0.135667747499326,1.54932086646814,50,0.5
"26",9.25448864956493,1.92069942273888,11.2,-1.94551135043507,7.47410068718114,-2.82253450224032,9.9196341134455,50,0.5
